time,RR,beat
720.068,1088,Q
721.164,1096,Q
722.28,1116,Q
723.412,1132,Q
724.54,1128,Q
725.668,1128,Q
726.808,1140,Q
727.924,1116,Q
729.024,1100,Q
730.104,1080,Q
731.168,1064,Q
732.22,1052,Q
733.276,1056,Q
734.336,1060,Q
735.412,1076,Q
736.472,1060,Q
737.532,1060,Q
738.58,1048,Q
739.656,1076,Q
740.696,1040,Q
741.716,1020,Q
742.716,1000,Q
743.728,1012,Q
744.76,1032,Q
745.868,1108,Q
746.98,1112,Q
748.08,1100,Q
749.168,1088,Q
750.248,1080,Q
751.34,1092,Q
752.428,1088,Q
753.536,1108,Q
754.616,1080,Q
755.7,1084,Q
756.768,1068,Q
757.892,1124,Q
758.996,1104,Q
760.112,1116,Q
761.232,1120,Q
762.364,1132,Q
763.472,1108,Q
764.604,1132,Q
765.72,1116,Q
766.828,1108,Q
767.952,1124,Q
769.056,1104,Q
770.176,1120,Q
771.296,1120,Q
772.432,1136,Q
773.56,1128,Q
774.668,1108,Q
775.756,1088,Q
776.884,1128,Q
778.012,1128,Q
779.132,1120,Q
780.252,1120,Q
781.344,1092,Q
782.408,1064,Q
783.464,1056,Q
784.54,1076,Q
785.588,1048,Q
786.64,1052,Q
787.656,1016,Q
788.652,996,Q
789.656,1004,Q
790.704,1048,Q
791.776,1072,Q
792.836,1060,Q
793.912,1076,Q
794.96,1048,Q
795.984,1024,Q
796.968,984,Q
797.96,992,Q
798.976,1016,Q
800.008,1032,Q
801.056,1048,Q
802.088,1032,Q
803.132,1044,Q
804.184,1052,Q
805.24,1056,Q
806.328,1088,Q
807.396,1068,Q
808.42,1024,Q
809.452,1032,Q
810.492,1040,Q
811.556,1064,Q
811.876,320,Z
812.624,748,Z
813.684,1060,Z
814.072,388,Z
814.724,652,Z
815.352,628,Z
815.812,460,Z
816.9,1088,Z
817.94,1040,Z
818.932,992,Z
819.904,972,Z
820.864,960,Z
821.792,928,Q
822.72,928,Q
823.636,916,Q
824.58,944,Q
825.572,992,Q
826.572,1000,Q
827.616,1044,Q
828.672,1056,Q
829.776,1104,Q
830.888,1112,Q
832.0,1112,Q
833.096,1096,Q
834.184,1088,Q
835.268,1084,Q
836.304,1036,Q
837.348,1044,Q
838.408,1060,Q
839.492,1084,Q
840.58,1088,Q
841.664,1084,Q
842.748,1084,Q
843.808,1060,Q
844.896,1088,Q
845.992,1096,Q
847.084,1092,Q
848.132,1048,Q
849.196,1064,Q
850.224,1028,Q
851.352,1128,Q
852.392,1040,Q
853.444,1052,Q
854.508,1064,Q
855.568,1060,Q
856.644,1076,Q
857.724,1080,Q
858.796,1072,Q
859.844,1048,Q
860.928,1084,Q
861.968,1040,Q
863.02,1052,Q
864.064,1044,Q
865.088,1024,Q
866.092,1004,Q
867.068,976,Q
868.044,976,Q
869.0,956,Q
869.976,976,Q
870.976,1000,Q
871.98,1004,Q
873.032,1052,Q
874.092,1060,Q
875.164,1072,Q
876.236,1072,Q
877.316,1080,Q
878.384,1068,Q
879.44,1056,Q
880.484,1044,Q
881.528,1044,Q
882.588,1060,Q
883.624,1036,Q
884.66,1036,Q
885.692,1032,Q
886.712,1020,Q
887.76,1048,Q
888.796,1036,Q
889.864,1068,Q
890.916,1052,Q
891.96,1044,Q
893.004,1044,Q
894.048,1044,Q
895.084,1036,Q
896.112,1028,Q
897.164,1052,Q
898.208,1044,Q
899.248,1040,Q
900.28,1032,Q
901.3,1020,Q
902.332,1032,Q
903.356,1024,Q
904.416,1060,Q
905.468,1052,Q
906.536,1068,Q
907.568,1032,Q
908.616,1048,Q
909.652,1036,Q
910.684,1032,Q
911.72,1036,Q
912.724,1004,Q
913.752,1028,Q
914.776,1024,Q
915.82,1044,Q
916.848,1028,Q
917.888,1040,Q
918.936,1048,Q
919.992,1056,Q
921.032,1040,Q
922.076,1044,Q
923.124,1048,Q
924.164,1040,Q
925.216,1052,Q
926.264,1048,Q
927.304,1040,Q
928.344,1040,Q
929.388,1044,Q
930.44,1052,Q
931.48,1040,Q
932.512,1032,Q
933.556,1044,Q
934.608,1052,Q
935.664,1056,Q
936.72,1056,Q
937.784,1064,Q
938.844,1060,Q
939.916,1072,Q
940.976,1060,Q
942.056,1080,Q
943.12,1064,Q
944.176,1056,Q
945.208,1032,Q
946.2,992,Q
947.244,1044,Q
948.28,1036,Q
949.348,1068,Q
950.408,1060,Q
951.48,1072,Q
952.548,1068,Q
953.644,1096,Q
954.728,1084,Q
955.812,1084,Q
956.896,1084,Q
957.964,1068,Q
959.048,1084,Q
960.116,1068,Q
961.188,1072,Q
962.248,1060,Q
963.316,1068,Q
964.396,1080,Q
965.48,1084,Q
966.548,1068,Q
967.624,1076,Q
968.708,1084,Q
969.784,1076,Q
970.868,1084,Q
971.94,1072,Q
973.024,1084,Q
974.088,1064,Q
975.152,1064,Q
976.216,1064,Q
977.3,1084,Q
978.372,1072,Q
979.44,1068,Q
980.476,1036,Q
981.492,1016,Q
982.496,1004,Q
983.5,1004,Q
984.504,1004,Q
985.524,1020,Q
986.552,1028,Q
987.596,1044,Q
988.64,1044,Q
989.272,632,A
990.504,1232,Q
991.608,1104,Q
992.68,1072,Q
993.48,800,A
994.176,696,A
994.772,596,A
996.028,1256,Q
997.156,1128,Q
998.216,1060,Q
999.272,1056,Q
1000.336,1064,Q
1001.392,1056,Q
1002.452,1060,Q
1003.504,1052,Q
1004.568,1064,Q
1005.616,1048,Q
1006.672,1056,Q
1007.732,1060,Q
1008.784,1052,Q
1009.844,1060,Q
1010.912,1068,Q
1011.988,1076,Q
1013.06,1072,Q
1014.144,1084,Q
1015.216,1072,Q
1016.288,1072,Q
1017.332,1044,Q
1018.376,1044,Q
1019.444,1068,Q
1020.48,1036,Q
1021.556,1076,Q
1022.644,1088,Q
1023.748,1104,Q
1024.832,1084,Q
1025.908,1076,Q
1026.992,1084,Q
1028.068,1076,Q
1029.136,1068,Q
1030.188,1052,Q
1031.252,1064,Q
1032.312,1060,Q
1033.364,1052,Q
1034.412,1048,Q
1035.456,1044,Q
1036.488,1032,Q
1037.496,1008,Q
1038.5,1004,Q
1039.484,984,Q
1040.468,984,Q
1041.444,976,Q
1042.44,996,Q
1043.432,992,Q
1044.428,996,Q
1045.432,1004,Q
1046.416,984,Q
