time,RR,beat
971.036,1020,Q
972.064,1028,Q
973.108,1044,Q
974.152,1044,Q
975.384,1232,Q
976.488,1104,Q
977.56,1072,Q
978.816,1256,Q
979.944,1128,Q
981.004,1060,Q
982.06,1056,Q
983.124,1064,Q
984.18,1056,Q
985.24,1060,Q
986.292,1052,Q
987.356,1064,Q
988.404,1048,Q
989.46,1056,Q
990.52,1060,Q
991.572,1052,Q
992.632,1060,Q
993.7,1068,Q
994.776,1076,Q
995.848,1072,Q
996.932,1084,Q
998.004,1072,Q
999.076,1072,Q
1000.12,1044,Q
1001.164,1044,Q
1002.232,1068,Q
1003.268,1036,Q
1004.344,1076,Q
1005.432,1088,Q
1006.536,1104,Q
1007.62,1084,Q
1008.696,1076,Q
1009.78,1084,Q
1010.856,1076,Q
1011.924,1068,Q
1012.976,1052,Q
1014.04,1064,Q
1015.1,1060,Q
1016.152,1052,Q
1017.2,1048,Q
1018.244,1044,Q
1019.276,1032,Q
1020.284,1008,Q
1021.288,1004,Q
1022.272,984,Q
1023.256,984,Q
1024.232,976,Q
1025.228,996,Q
1026.22,992,Q
1027.216,996,Q
1028.22,1004,Q
1029.204,984,Q
1030.196,992,Q
1031.184,988,Q
1032.188,1004,Q
1033.192,1004,Q
1034.188,996,Q
1035.172,984,Q
1036.152,980,Q
1037.14,988,Q
1038.136,996,Q
1039.148,1012,Q
1040.172,1024,Q
1041.176,1004,Q
1042.188,1012,Q
1043.208,1020,Q
1044.376,1168,Q
1045.516,1140,Q
1046.592,1076,Q
1047.672,1080,Q
1048.756,1084,Q
1049.836,1080,Q
1050.896,1060,Q
1051.936,1040,Q
1052.964,1028,Q
1054.0,1036,Q
1055.024,1024,Q
1056.068,1044,Q
1057.124,1056,Q
1058.176,1052,Q
1059.236,1060,Q
1060.3,1064,Q
1061.368,1068,Q
1062.424,1056,Q
1063.52,1096,Q
1064.576,1056,Q
1065.612,1036,Q
1066.668,1056,Q
1067.748,1080,Q
1068.82,1072,Q
1069.904,1084,Q
1070.988,1084,Q
1072.06,1072,Q
1073.124,1064,Q
1074.168,1044,Q
1075.2,1032,Q
1076.192,992,Q
1077.14,948,Q
1078.148,1008,Q
1079.184,1036,Q
1080.228,1044,Q
1081.276,1048,Q
1082.32,1044,Q
1083.38,1060,Q
1084.424,1044,Q
1085.476,1052,Q
1086.516,1040,Q
1087.552,1036,Q
1088.564,1012,Q
1089.544,980,Q
1090.52,976,Q
1091.496,976,Q
1092.496,1000,Q
1093.484,988,Q
1094.492,1008,Q
1095.488,996,Q
1096.488,1000,Q
1097.496,1008,Q
1098.492,996,Q
1099.572,1080,Q
1100.58,1008,Q
1101.6,1020,Q
1102.624,1024,Q
1103.644,1020,Q
1104.64,996,Q
1105.612,972,Q
1106.576,964,Q
1107.528,952,Q
1108.5,972,Q
1109.464,964,Q
1110.416,952,Q
1111.368,952,Q
1112.436,1068,Q
1113.492,1056,Q
1114.524,1032,Q
1115.548,1024,Q
1116.576,1028,Q
1117.6,1024,Q
1118.64,1040,Q
1119.692,1052,Q
1120.716,1024,Q
1121.752,1036,Q
1122.772,1020,Q
1123.772,1000,Q
1124.796,1024,Q
1125.796,1000,Q
1126.8,1004,Q
1127.788,988,Q
1128.752,964,Q
1129.676,924,Q
1130.616,940,Q
1131.632,1016,Q
1132.612,980,Q
1133.596,984,Q
1134.644,1048,Q
1135.68,1036,Q
1136.864,1184,Q
1137.964,1100,Q
1139.008,1044,Q
1140.044,1036,Q
1141.072,1028,Q
1142.104,1032,Q
1143.144,1040,Q
1144.148,1004,Q
1145.176,1028,Q
1146.2,1024,Q
1147.22,1020,Q
1148.296,1076,Q
1149.364,1068,Q
1150.432,1068,Q
1151.484,1052,Q
1152.528,1044,Q
1153.564,1036,Q
1154.608,1044,Q
1155.656,1048,Q
1156.696,1040,Q
1157.708,1012,Q
1158.74,1032,Q
1159.788,1048,Q
1160.824,1036,Q
1161.852,1028,Q
1162.836,984,Q
1163.788,952,Q
1164.732,944,Q
1165.644,912,Q
1166.596,952,Q
1167.576,980,Q
1168.644,1068,Q
1169.784,1140,Q
1170.86,1076,Q
1171.952,1092,Q
1173.036,1084,Q
1174.112,1076,Q
1175.184,1072,Q
1176.256,1072,Q
1177.32,1064,Q
1178.372,1052,Q
1179.44,1068,Q
1180.492,1052,Q
1181.572,1080,Q
1182.632,1060,Q
1183.732,1100,Q
1184.804,1072,Q
1185.872,1068,Q
1186.928,1056,Q
1188.0,1072,Q
1189.068,1068,Q
1190.092,1024,Q
1191.112,1020,Q
1192.156,1044,Q
1193.236,1080,Q
1194.308,1072,Q
1195.384,1076,Q
1196.46,1076,Q
1197.54,1080,Q
1198.612,1072,Q
1199.668,1056,Q
1200.724,1056,Q
1201.76,1036,Q
1202.812,1052,Q
1203.844,1032,Q
1204.876,1032,Q
1205.9,1024,Q
1206.92,1020,Q
1207.944,1024,Q
1208.98,1036,Q
1210.008,1028,Q
1211.032,1024,Q
1212.08,1048,Q
1213.12,1040,Q
1214.164,1044,Q
1215.212,1048,Q
1216.26,1048,Q
1217.308,1048,Q
1218.332,1024,Q
1219.356,1024,Q
1220.38,1024,Q
1221.404,1024,Q
1222.432,1028,Q
1223.452,1020,Q
1224.468,1016,Q
1225.476,1008,Q
1226.492,1016,Q
1227.516,1024,Q
1228.536,1020,Q
1229.56,1024,Q
1230.58,1020,Q
1231.62,1040,Q
1232.644,1024,Q
1233.692,1048,Q
1234.744,1052,Q
1235.812,1068,Q
1236.868,1056,Q
1237.924,1056,Q
1238.972,1048,Q
1240.004,1032,Q
1241.024,1020,Q
1242.012,988,Q
1243.016,1004,Q
1244.04,1024,Q
1245.06,1020,Q
1246.068,1008,Q
1247.064,996,Q
1248.068,1004,Q
1249.076,1008,Q
1250.08,1004,Q
1251.088,1008,Q
1252.08,992,Q
1253.08,1000,Q
1254.072,992,Q
1255.084,1012,Q
1256.112,1028,Q
1257.124,1012,Q
1258.14,1016,Q
1259.156,1016,Q
1260.192,1036,Q
1261.24,1048,Q
1262.284,1044,Q
1263.316,1032,Q
1264.34,1024,Q
1265.372,1032,Q
1266.376,1004,Q
1267.408,1032,Q
1268.428,1020,Q
1269.464,1036,Q
1270.5,1036,Q
1271.536,1036,Q
1272.568,1032,Q
1273.58,1012,Q
1274.604,1024,Q
1275.616,1012,Q
1276.66,1044,Q
1277.68,1020,Q
1278.724,1044,Q
1279.748,1024,Q
1280.792,1044,Q
1281.832,1040,Q
1282.836,1004,Q
1283.82,984,Q
1284.812,992,Q
1285.808,996,Q
1286.788,980,Q
1287.784,996,Q
1288.792,1008,Q
1289.756,964,Q
1290.716,960,Q
1291.704,988,Q
1292.708,1004,Q
1293.724,1016,Q
1294.7,976,Q
1295.668,968,Q
1296.628,960,Q
1297.572,944,Q
1298.528,956,Q
1299.488,960,Q
1300.472,984,Q
1301.268,796,Q
1302.028,760,Q
1303.096,1068,Q
1304.096,1000,Q
1305.1,1004,Q
1306.088,988,Q
1307.056,968,Q
1308.036,980,Q
1309.024,988,Q
1309.976,952,Q
1310.9,924,Q
1311.852,952,Q
1312.784,932,Q
1313.684,900,Q
1314.584,900,Q
1315.504,920,Q
1316.436,932,Q
1317.412,976,Q
1318.532,1120,Q
1319.532,1000,Q
1320.484,952,Q
1321.412,928,Q
1322.308,896,Q
1323.208,900,Q
1324.088,880,Q
1324.992,904,Q
1325.96,968,Q
1327.132,1172,Q
1328.216,1084,Q
1329.288,1072,Q
1330.404,1116,Q
1331.504,1100,Q
1332.592,1088,Q
1333.672,1080,Q
1334.744,1072,Q
1335.812,1068,Q
1336.884,1072,Q
1337.952,1068,Q
1339.028,1076,Q
1340.1,1072,Q
1341.18,1080,Q
1342.24,1060,Q
1343.328,1088,Q
1344.404,1076,Q
